,type,SNR,sum_rate,K
0,Uniform,1.0,1.7779994860226656,2
1,Random,1.0,2.260076140081819,2
2,WMMES,1.0,2.6994618341850773,2
3,Uniform,1.0,0.7437811170025057,4
4,Random,1.0,1.2312389095248804,4
5,WMMES,1.0,1.5339130568255526,4
6,Uniform,1.0,0.9027601742718087,6
7,Random,1.0,1.2002726588492298,6
8,WMMES,1.0,3.2882592598229357,6
9,Uniform,1.0,1.0349603931085358,8
10,Random,1.0,2.0243063795545164,8
11,WMMES,1.0,3.0789628477774533,8
12,Uniform,1.0,0.7459480074903269,10
13,Random,1.0,1.178424030543788,10
14,WMMES,1.0,2.4938599864017386,10
15,Uniform,1.0,1.212889969508491,2
16,Random,1.0,1.3979979327053018,2
17,WMMES,1.0,2.032690587900728,2
18,Uniform,1.0,0.7437811170025057,4
19,Random,1.0,1.2312389095248804,4
20,WMMES,1.0,1.5339130568255526,4
21,Uniform,1.0,0.9027601742718087,6
22,Random,1.0,1.2002726588492298,6
23,WMMES,1.0,3.2882592598229357,6
24,Uniform,1.0,1.0349603931085358,8
25,Random,1.0,2.0243063795545164,8
26,WMMES,1.0,3.0789628477774533,8
27,Uniform,1.0,0.7459480074903269,10
28,Random,1.0,1.178424030543788,10
29,WMMES,1.0,2.4938599864017386,10
30,Uniform,1.0,1.212889969508491,2
31,Random,1.0,1.3979979327053018,2
32,WMMES,1.0,2.032690587900728,2
33,Uniform,1.0,0.7437811170025057,4
34,Random,1.0,1.2312389095248804,4
35,WMMES,1.0,1.5339130568255526,4
36,Uniform,1.0,0.9027601742718087,6
37,Random,1.0,1.2002726588492298,6
38,WMMES,1.0,3.2882592598229357,6
39,Uniform,1.0,1.0349603931085358,8
40,Random,1.0,2.0243063795545164,8
41,WMMES,1.0,3.0789628477774533,8
42,Uniform,1.0,0.7459480074903269,10
43,Random,1.0,1.178424030543788,10
44,WMMES,1.0,2.4938599864017386,10
45,Uniform,1.0,1.212889969508491,2
46,Random,1.0,1.3979979327053018,2
47,WMMES,1.0,2.032690587900728,2
48,Uniform,1.0,0.7437811170025057,4
49,Random,1.0,1.2312389095248804,4
50,WMMES,1.0,1.5339130568255526,4
51,Uniform,1.0,0.9027601742718087,6
52,Random,1.0,1.2002726588492298,6
53,WMMES,1.0,3.2882592598229357,6
54,Uniform,1.0,1.0349603931085358,8
55,Random,1.0,2.0243063795545164,8
56,WMMES,1.0,3.0789628477774533,8
57,Uniform,1.0,0.7459480074903269,10
58,Random,1.0,1.178424030543788,10
59,WMMES,1.0,2.4938599864017386,10
60,Uniform,1.0,1.212889969508491,2
61,Random,1.0,1.3979979327053018,2
62,WMMES,1.0,2.032690587900728,2
63,Uniform,1.0,0.7437811170025057,4
64,Random,1.0,1.2312389095248804,4
65,WMMES,1.0,1.5339130568255526,4
66,Uniform,1.0,0.9027601742718087,6
67,Random,1.0,1.2002726588492298,6
68,WMMES,1.0,3.2882592598229357,6
69,Uniform,1.0,1.0349603931085358,8
70,Random,1.0,2.0243063795545164,8
71,WMMES,1.0,3.0789628477774533,8
72,Uniform,1.0,0.7459480074903269,10
73,Random,1.0,1.178424030543788,10
74,WMMES,1.0,2.4938599864017386,10
